location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
AK,108.52178392750271,30.04609464705835,72.31%,98.22%,70.17%,5382,666915
AL,47.9523289493581,27.970578554871498,41.67%,65.77%,59.52%,41366,6225403
AR,50.748008269361186,26.276917434860916,48.22%,73.50%,64.62%,21240,2758407
AZ,63.16814228163839,27.170764845805163,56.99%,85.18%,76.11%,71585,9297974
CA,78.56832815711556,34.14314832413927,56.54%,88.82%,80.81%,506234,69487479
CO,72.15238775541425,28.618620203944683,60.34%,90.82%,81.95%,50702,6111502
CT,45.74293428084429,16.677720992183232,63.54%,89.77%,80.76%,27467,4002009
DC,78.89671633523133,24.421408175329,69.05%,97.94%,91.07%,30139,4582237
DE,44.00751104937402,18.400729424270917,58.19%,82.88%,75.05%,8283,1450996
FL,77.10638559882713,37.61595302412036,51.22%,78.90%,70.35%,229306,30613299
GA,65.61507893773846,33.14455143019537,49.49%,67.46%,65.23%,122932,21014273
HI,146.78824501425214,68.15922139479464,53.57%,92.40%,79.97%,21034,1934341
IA,50.183074419521716,22.639837841408504,54.89%,84.31%,75.82%,26912,2830285
ID,71.46488535490666,37.5993013339066,47.39%,75.26%,67.63%,9553,1121973
IL,55.547551830626894,22.524330217936335,59.45%,92.28%,82.56%,121931,15742982
IN,46.19374820975331,21.39340425737677,53.69%,85.11%,79.39%,63982,7674299
KS,65.16386208207373,30.574863663897474,53.08%,81.36%,71.19%,29198,2997597
KY,44.695600848231415,20.754168281769704,53.57%,80.95%,72.42%,39085,4641009
LA,46.14996816852544,25.820204957848162,44.05%,69.52%,62.03%,55644,11430040
MA,58.44303408158791,19.353607702247675,66.88%,93.67%,84.10%,69038,8790377
MD,46.455542983520075,17.756531215393917,61.78%,86.94%,80.66%,64996,10550187
ME,59.26061790965251,25.447751868657466,57.06%,83.82%,74.46%,7501,992195
MI,56.36089872617943,26.951349636747175,52.18%,86.18%,77.32%,78043,9999782
MN,63.942101307700746,22.97812578837152,64.06%,90.67%,82.20%,43574,4876664
MO,52.493261901039034,23.76388804027384,54.73%,85.22%,78.59%,50725,6163611
MS,50.794444707436945,30.53817184433851,39.88%,62.20%,58.73%,23026,3762230
MT,69.85086234841008,40.4297475130428,42.12%,74.45%,55.87%,5158,548410
NC,52.29230691432538,24.47985190724321,53.19%,80.14%,71.74%,97457,13998838
ND,65.17661163510391,29.40246214152726,54.89%,87.51%,79.03%,5423,502904
NE,55.18186707634588,26.901728279978553,51.25%,88.85%,73.32%,19501,1857409
NH,54.51751499752028,21.607137285007173,60.37%,86.92%,74.46%,8722,1051802
NJ,48.9442667283806,17.751676146149002,63.73%,90.69%,83.70%,79851,10864982
NM,58.14891811406103,27.928946649535952,51.97%,79.95%,65.68%,14301,1876152
NV,80.54784567724334,40.438796780217544,49.80%,80.38%,71.41%,48811,6648869
NY,70.68710408253894,28.188310204126772,60.12%,93.33%,84.18%,235203,34651600
OH,44.84825299824728,19.677120431817116,56.13%,82.79%,74.10%,119691,15969023
OK,52.28587711116482,29.48217701920062,43.61%,70.93%,62.71%,36106,4341542
OR,70.38938738830063,28.902770806237548,58.94%,90.57%,81.36%,35859,5302684
PA,54.23336062101979,24.13012275500858,55.51%,86.01%,76.77%,110161,15969030
PR,46.35236250659305,16.333461980315292,64.76%,90.85%,81.42%,7036,1005696
RI,47.11663290999983,14.2162981085531,69.83%,91.09%,82.46%,9832,1357458
SC,47.93795143825826,24.38450158760975,49.13%,72.54%,64.07%,41800,5746903
SD,69.48150711515777,38.79239364024807,44.17%,77.94%,66.33%,5955,588474
TN,56.632362214737064,27.356626950768767,51.69%,79.67%,69.38%,70695,9469826
TX,73.4140880888352,34.48068162899733,53.03%,77.93%,69.63%,393531,56842472
UT,69.02357046623408,28.48983127376246,58.72%,84.14%,81.20%,23322,2647078
VA,57.525064871030935,25.478193939021676,55.71%,84.38%,77.52%,82116,12235941
VI,135.25842940267592,49.53287131663105,63.38%,96.28%,94.19%,666,75455
VT,57.42804904569758,26.375365780796244,54.07%,86.93%,79.94%,3819,458258
WA,75.36793745285942,24.011298912958093,68.14%,93.59%,89.85%,65868,8653931
WI,56.297098501027634,23.930443339962263,57.49%,87.30%,80.15%,34817,4292570
WV,45.97204843281128,25.010660062509533,45.60%,67.48%,62.39%,13571,1486158
WY,71.40497873369442,45.57017157140295,36.18%,64.11%,63.74%,3029,357896
United States,65.5800997491202,29.53104754519088,54.97%,84.95%,76.17%,3898305,517352688
