location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,86.2661358824445,33.34279416055498,61.35%,96.06%,87.13%,164677,22409936
Los Angeles,102.8551042619696,45.264218326898906,55.99%,92.90%,81.86%,124712,18360614
Chicago,63.701224473855255,22.523776245975295,64.64%,95.51%,85.55%,61186,8966527
Houston,53.81661637156355,26.43946082927156,50.87%,83.67%,72.41%,71734,12857274
Phoenix,60.36567523359031,21.436312101392733,64.49%,88.72%,82.00%,22593,3304191
Philadelphia,54.992823351095176,23.011106404335596,58.16%,91.00%,82.57%,33007,6030803
San Antonio,45.359602231057586,21.346802259468813,52.94%,87.48%,77.30%,33079,4987524
San Diego,79.08687154001042,31.440857019747526,60.25%,93.85%,84.09%,30689,3682268
Dallas,64.1400931045904,27.7503325677312,56.73%,85.50%,76.83%,28980,4991618
San Jose,60.01291937036622,17.639792599435665,70.61%,95.08%,93.11%,13573,1792839
Austin,72.52792414520943,28.935657913818215,60.10%,91.71%,84.40%,29418,3988793
Jacksonville,48.18461770499283,30.948214918825613,35.77%,51.42%,78.49%,655,69266
Fort Worth,51.65953238183951,25.29448015881218,51.04%,81.21%,68.09%,14150,1996865
Columbus,44.70339244221704,17.742116206851247,60.31%,87.15%,80.56%,20048,3250751
San Francisco,113.41549102002217,35.70109409004942,68.52%,98.78%,95.77%,32656,3586721
Charlotte,57.49101891604194,23.724288252918964,58.73%,84.73%,78.85%,17888,3075812
Indianapolis,46.606163127713906,18.61056459436287,60.07%,89.67%,79.92%,16121,2390302
Seattle,98.71402097647147,24.552009342016042,75.13%,98.95%,97.11%,21021,2780432
Denver,81.17646073207516,30.51860742102692,62.40%,92.84%,85.36%,14839,1951055
Washington,80.0521215447212,26.3475381905399,67.09%,97.44%,90.46%,40171,5579767
Boston,76.38920956615956,27.301140922930138,64.26%,95.88%,85.45%,21693,2591449
El Paso,51.10696334412348,23.193266452070294,54.62%,96.39%,82.38%,9254,1311676
Detroit,53.82840924964362,30.53559134388741,43.27%,84.16%,64.54%,9573,1720407
Nashville,72.61861454011729,30.706562848349716,57.72%,88.40%,82.27%,19208,2837909
Portland,78.62171741339952,27.569276501296994,64.93%,96.44%,90.34%,15772,2692280
Memphis,48.29612530871531,23.614156428678125,51.11%,85.98%,69.86%,10654,1843640
Oklahoma City,46.10680623601906,20.9605701211818,54.54%,79.14%,67.47%,8762,1318402
Las Vegas,80.67160491484721,43.3526571424229,46.26%,82.16%,69.73%,16039,2187623
Louisville,45.920657025667815,17.14561381702792,62.66%,84.75%,70.61%,7007,993743
